1170
cluster: 0: length: 16
[6, 3, 6, 110, 21924]: ['10.0.0.7', '10.0.0.4', 6, 110, 21924]
[6, 3, 6, 443, 11656]: ['10.0.0.7', '10.0.0.4', 6, 443, 11656]
[6, 3, 6, 21, 18865]: ['10.0.0.7', '10.0.0.4', 6, 21, 18865]
[6, 3, 6, 443, 13585]: ['10.0.0.7', '10.0.0.4', 6, 443, 13585]
[6, 3, 6, 25, 25838]: ['10.0.0.7', '10.0.0.4', 6, 25, 25838]
[6, 3, 6, 143, 17808]: ['10.0.0.7', '10.0.0.4', 6, 143, 17808]
[6, 3, 6, 21, 22040]: ['10.0.0.7', '10.0.0.4', 6, 21, 22040]
[6, 3, 6, 21, 16493]: ['10.0.0.7', '10.0.0.4', 6, 21, 16493]
[6, 3, 6, 80, 21124]: ['10.0.0.7', '10.0.0.4', 6, 80, 21124]
[6, 3, 6, 80, 25650]: ['10.0.0.7', '10.0.0.4', 6, 80, 25650]
[6, 3, 6, 22, 20508]: ['10.0.0.7', '10.0.0.4', 6, 22, 20508]
[6, 3, 6, 20, 18906]: ['10.0.0.7', '10.0.0.4', 6, 20, 18906]
[6, 3, 6, 143, 23995]: ['10.0.0.7', '10.0.0.4', 6, 143, 23995]
[6, 3, 6, 3389, 22619]: ['10.0.0.7', '10.0.0.4', 6, 3389, 22619]
[6, 3, 6, 443, 14593]: ['10.0.0.7', '10.0.0.4', 6, 443, 14593]
[6, 3, 6, 21, 26032]: ['10.0.0.7', '10.0.0.4', 6, 21, 26032]
cluster: 1: length: 16
[3, 6, 6, 21924, 110]: ['10.0.0.4', '10.0.0.7', 6, 21924, 110]
[3, 6, 6, 11656, 443]: ['10.0.0.4', '10.0.0.7', 6, 11656, 443]
[3, 6, 6, 18865, 21]: ['10.0.0.4', '10.0.0.7', 6, 18865, 21]
[3, 6, 6, 13585, 443]: ['10.0.0.4', '10.0.0.7', 6, 13585, 443]
[3, 6, 6, 25838, 25]: ['10.0.0.4', '10.0.0.7', 6, 25838, 25]
[3, 6, 6, 17808, 143]: ['10.0.0.4', '10.0.0.7', 6, 17808, 143]
[3, 6, 6, 22040, 21]: ['10.0.0.4', '10.0.0.7', 6, 22040, 21]
[3, 6, 6, 16493, 21]: ['10.0.0.4', '10.0.0.7', 6, 16493, 21]
[3, 6, 6, 21124, 80]: ['10.0.0.4', '10.0.0.7', 6, 21124, 80]
[3, 6, 6, 25650, 80]: ['10.0.0.4', '10.0.0.7', 6, 25650, 80]
[3, 6, 6, 20508, 22]: ['10.0.0.4', '10.0.0.7', 6, 20508, 22]
[3, 6, 6, 18906, 20]: ['10.0.0.4', '10.0.0.7', 6, 18906, 20]
[3, 6, 6, 23995, 143]: ['10.0.0.4', '10.0.0.7', 6, 23995, 143]
[3, 6, 6, 22619, 3389]: ['10.0.0.4', '10.0.0.7', 6, 22619, 3389]
[3, 6, 6, 14593, 443]: ['10.0.0.4', '10.0.0.7', 6, 14593, 443]
[3, 6, 6, 26032, 21]: ['10.0.0.4', '10.0.0.7', 6, 26032, 21]
cluster: 2: length: 79
